"...1","Year","State","State ANSI","Value","CV (%)","Type","Condition","Metric"
117,2021,"MINNESOTA","27",NA,NA," FRESH MARKET","SALES"," $"
118,2021,"MINNESOTA","27",659,"62.9"," FRESH MARKET","SALES"," CWT"
119,2021,"MINNESOTA","27",3,"95.4"," PROCESSING","SALES",""
120,2021,"MINNESOTA","27",NA,NA," PROCESSING","SALES"," $"
121,2021,"MINNESOTA","27",90,"95.4"," PROCESSING","SALES"," CWT"
122,2021,"MONTANA","30",11,"43.6","","SALES",""
123,2021,"MONTANA","30",96,"73.5","","PRODUCTION"," CWT"
124,2021,"MONTANA","30",80886,"74.8","","SALES"," $"
125,2021,"MONTANA","30",96,"73.5","","SALES"," CWT"
126,2021,"MONTANA","30",11,"43.6"," FRESH MARKET","SALES",""
127,2021,"MONTANA","30",80886,"74.8"," FRESH MARKET","SALES"," $"
128,2021,"MONTANA","30",96,"73.5"," FRESH MARKET","SALES"," CWT"
129,2021,"NEBRASKA","31",1,NA,"","SALES",""
130,2021,"NEBRASKA","31",NA,NA,"","PRODUCTION"," CWT"
131,2021,"NEBRASKA","31",NA,NA,"","SALES"," $"
132,2021,"NEBRASKA","31",NA,NA,"","SALES"," CWT"
133,2021,"NEBRASKA","31",1,NA," FRESH MARKET","SALES",""
134,2021,"NEBRASKA","31",NA,NA," FRESH MARKET","SALES"," $"
135,2021,"NEBRASKA","31",NA,NA," FRESH MARKET","SALES"," CWT"
136,2021,"NEW HAMPSHIRE","33",9,"58.7","","SALES",""
137,2021,"NEW HAMPSHIRE","33",132,NA,"","PRODUCTION"," CWT"
138,2021,"NEW HAMPSHIRE","33",52665,NA,"","SALES"," $"
139,2021,"NEW HAMPSHIRE","33",132,NA,"","SALES"," CWT"
140,2021,"NEW HAMPSHIRE","33",9,"58.7"," FRESH MARKET","SALES",""
141,2021,"NEW HAMPSHIRE","33",52665,NA," FRESH MARKET","SALES"," $"
142,2021,"NEW HAMPSHIRE","33",132,NA," FRESH MARKET","SALES"," CWT"
143,2021,"NEW JERSEY","34",3,NA,"","SALES",""
144,2021,"NEW JERSEY","34",NA,NA,"","PRODUCTION"," CWT"
145,2021,"NEW JERSEY","34",28166,NA,"","SALES"," $"
146,2021,"NEW JERSEY","34",NA,NA,"","SALES"," CWT"
147,2021,"NEW JERSEY","34",3,NA," FRESH MARKET","SALES",""
148,2021,"NEW JERSEY","34",28166,NA," FRESH MARKET","SALES"," $"
